Time_integration Time_hrs Satellite_index angular_distance  Satellite_range
15579 6.918301249388605 [610] [0.01909549] [1640.47537274] 
15616 6.934857080457732 [192] [0.0724395] [1486.16445358] 
15641 6.945968330372125 [192] [0.06084305] [1652.86446135] 
15729 6.985024444526061 [204] [0.06786668] [1494.39513682] 
15754 6.996135746827349 [204] [0.05638303] [1663.32982302] 
15779 7.007219305727631 [187] [0.06382659] [1226.38053325] 
15804 7.018302776792552 [187] [0.03876878] [1294.88152113] 
15829 7.029414027056191 [187] [0.02217292] [1410.82053839] 
15854 7.040525276970584 [493] [0.01664005] [1842.03712821] 
15979 7.09608180471696 [191] [0.01694652] [1642.59429841] 
16079 7.140471386897843 [196] [0.0364329] [1267.35594365] 
16179 7.184860830253456 [443] [0.0738126] [1640.7682] 
16329 7.251528607914224 [319] [0.06016605] [1824.08636438] 
16379 7.273862220870797 [306] [0.02001968] [1476.04464954] 
16404 7.284973609959707 [189] [0.01794957] [1473.69159526] 
16429 7.2960848598740995 [189] [0.01615898] [1633.28950012] 
16454 7.307196109788492 [189] [0.01260303] [1817.54650627] 
16516 7.334752083057538 [567] [0.0136368] [1474.53082559] 
16529 7.340529998706188 [200] [0.01584106] [1548.13944975] 
16554 7.351641248795204 [289] [0.01506504] [1761.23767627] 
16629 7.3849751377129 [586] [0.02336895] [1278.88369896] 
16654 7.396086387627292 [596] [0.01536684] [1877.28855897] 
16679 7.407197637541685 [183] [0.01211731] [1817.83535765] 
16716 7.423809025611263 [203] [0.03731909] [1366.57756543] 
16766 7.446087203454226 [203] [0.01411991] [1634.6233787] 
16791 7.4571429143543355 [209] [0.04182571] [1295.58155097] 
16841 7.479365414183121 [208] [0.04098001] [1318.90339945] 
16866 7.490476664097514 [438] [0.03181283] [1523.14172502] 
16891 7.501699166314211 [209] [0.05122264] [1727.56338007] 
16916 7.512754859577399 [315] [0.02138308] [1290.35300207] 
16966 7.534894024080131 [619] [0.05686829] [1515.97889993] 
17041 7.5682001353707165 [164] [0.06956843] [1938.30458549] 
17066 7.579366941936314 [201] [0.03553917] [1467.28526511] 
17128 7.6070895799202845 [333] [0.06757584] [1705.78906966] 
17166 7.623923193896189 [166] [0.05393297] [1933.25890604] 
17228 7.65153471857775 [547] [0.06872406] [1942.13682413] 
17266 7.668368332553655 [169] [0.05625612] [1850.9979429] 
17291 7.679479582817294 [169] [0.05256989] [1933.83327927] 
17341 7.701702221645974 [207] [0.04951604] [1764.85163479] 
17391 7.723869164998177 [148] [0.01222262] [1844.00750545] 
17441 7.7460362473502755 [576] [0.03174974] [1819.58604713] 
17503 7.773758884985 [144] [0.07472163] [1803.31712575] 
17591 7.812814999138936 [458] [0.04651196] [1716.13732256] 
17616 7.8238151362747885 [162] [0.03287186] [1760.65130943] 
17704 7.8628158326027915 [4] [0.0406829] [1979.83972539] 
17729 7.8738715258659795 [348] [0.01259528] [1722.70269116] 
17754 7.8849272193037905 [210] [0.03591978] [1618.49458603] 
17792 7.901760831009597 [569] [0.07411287] [1792.13550612] 
17854 7.929372358310502 [326] [0.0212866] [1979.68437126] 
17879 7.940483608224895 [199] [0.03438849] [1699.95583827] 
17904 7.951594996964559 [554] [0.03788099] [1656.00251316] 
17954 7.973817497142591 [161] [0.04210351] [1642.14992549] 
17992 7.990595554467291 [320] [0.06812438] [1344.16359169] 
18017 8.00170680473093 [629] [0.06111635] [1614.75164366] 
18042 8.012762497994117 [623] [0.00811133] [1898.51126495] 
18067 8.023873886733782 [344] [0.05431058] [1605.80682318] 
18092 8.034929580346216 [629] [0.02713236] [1983.02336226] 
18117 8.046040830260608 [351] [0.04111237] [1401.27808397] 
18142 8.057152080349624 [344] [0.02867846] [1945.16075491] 
18192 8.079374719178304 [153] [0.03939489] [1604.34928434] 
18242 8.101652775658295 [456] [0.01004358] [1465.61760865] 
18267 8.112764164572582 [153] [0.00614509] [1986.06309325] 
18317 8.134931107924785 [3] [0.03758303] [1741.36943952] 
18342 8.146042358013801 [571] [0.07557264] [1153.87416389] 
18430 8.185043054516427 [571] [0.05652323] [1569.32694055] 
18442 8.190431940369308 [211] [0.07500268] [1823.92968022] 
18555 8.240543886611704 [565] [0.00610388] [1935.55322626] 
18580 8.251710693351924 [146] [0.04981929] [1714.04667104] 
18705 8.307294858677778 [178] [0.06666294] [1748.2550814] 
18730 8.318378331838176 [328] [0.04314105] [1720.35970278] 
18755 8.329489720927086 [167] [0.06457044] [1437.03913042] 
18805 8.351712220755871 [563] [0.06564981] [1413.04040945] 
18830 8.362823470844887 [563] [0.05980146] [1488.91752132] 
18855 8.373934859759174 [158] [0.06818842] [1384.88726483] 
18930 8.407240832224488 [542] [0.03072604] [1453.53519902] 
18955 8.41837999841664 [452] [0.04253799] [1720.12048084] 
18992 8.434935691009741 [570] [0.04355537] [1426.50108983] 
19067 8.468269579927437 [612] [0.03414112] [2008.01634855] 
19142 8.501603468845133 [342] [0.04332352] [1490.7269344] 
